Artikelnummer;HAN;Artikelname
25;Kick-off Meeting;JTL-Wawi Projektmanagement: Durchführung eines Kick-off Meetings zur Klärung von Projektzielen, Anforderungen und Zeitplan. Identifikation der Stakeholder und Erstellung eines Pflichtenhefts.
26;Technische Infrastruktur prüfen;JTL-Wawi Systemintegration: Analyse der bestehenden IT-Infrastruktur und Bedarfsplanung für Hardware und Software. Sicherstellung der Kompatibilität mit JTL-Wawi.
27;Projektplan und Meilensteine erstellen;JTL-Wawi Projektmanagement: Entwicklung eines detaillierten Projektplans mit klaren Meilensteinen und Deadlines. Einführung eines Risikomanagementplans.
28;Datenexport aus Altsystem;JTL-Ameise Datenmigration: Export und Sicherung relevanter Daten aus dem Altsystem. Erstellung eines Datenmappings zur Vorbereitung der Migration in JTL-Wawi.
29;Datenbereinigung;JTL-Ameise Datenaufbereitung: Überprüfung und Bereinigung der exportierten Daten. Sicherstellung der Datenqualität vor der Migration.
30;Datenstruktur in JTL-Wawi planen;JTL-Wawi Konfiguration: Planung der Artikel-, Kunden- und Lagerstruktur in JTL-Wawi. Anpassung an die Anforderungen des Kunden.
31;Installation von JTL-Wawi;JTL-Wawi Installation:  Installation von JTL-Wawi auf Servern oder in der Cloud. Konfiguration der grundlegenden Systemeinstellungen.
32;Benutzerverwaltung einrichten;JTL-Wawi Benutzerverwaltung: Erstellung und Verwaltung von Benutzerkonten in JTL-Wawi. Definition von Rollen und Berechtigungen.
33;Zwei-Faktor-Authentifizierung einrichten;JTL-Wawi Sicherheit: Implementierung und Test der Zwei-Faktor-Authentifizierung für erhöhte Sicherheit der Benutzerkonten.
34;Schulung der Benutzer;JTL-Wawi Schulung: Durchführung von Schulungen, um sicherzustellen, dass die Benutzer die neuen Systeme und Prozesse verstehen und anwenden können.
35;Artikelstammdaten importieren;JTL-Ameise Datenmigration: Import der Artikelstammdaten in JTL-Wawi und Überprüfung auf korrekte Zuordnung und Datenintegrität.
36;Kundendaten und Lieferanten importieren;JTL-Ameise Datenmigration: Import und Zuordnung von Kunden- und Lieferantendaten in JTL-Wawi. Sicherstellung der Datenkonsistenz.
37;Auftragsdaten importieren;JTL-Ameise Datenmigration: Import offener und abgeschlossener Aufträge in JTL-Wawi. Test der Auftragsabwicklung.
